id,label,parsed_response1,confidence_response1,parsed_response2,confidence_response2,parsed_response3,confidence_response3,parsed_response4,confidence_response4,parsed_response5,confidence_response5,parsed_response6,confidence_response6,parsed_response7,confidence_response7,parsed_response8,confidence_response8,parsed_response9,confidence_response9,parsed_response10,confidence_response10,parsed_response11,confidence_response11,majority_vote,entropy
ES_038,0,2,0.6,2,0.7,2,0.7,2,0.7,2,0.8,2,0.7,2,0.7,2,0.6,2,0.7,0,0.8,2,0.7,2.0,0.4394969869215133
ES_039,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_040,0,1,0.7,1,0.8,1,0.8,0,0.8,1,0.85,1,0.8,1,0.8,1,0.7,1,0.9,1,0.8,1,0.8,1.0,0.4394969869215133
ES_041,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_042,1,0,0.8,1,0.8,0,0.8,1,0.8,0,0.9,1,0.8,0,0.8,2,0.7,1,0.8,0,0.8,1,0.8,,1.3485878960124225
ES_043,1,2,0.6,2,0.7,2,0.6,0,0.8,0,0.8,2,0.8,2,0.7,2,0.7,2,0.7,0,0.8,2,0.7,2.0,0.8453509366224364
ES_044,1,1,0.8,1,0.8,1,0.8,1,0.8,1,0.9,1,0.8,1,0.8,1,0.8,1,0.9,1,0.8,1,0.8,1.0,0.0
ES_045,0,1,0.7,1,0.9,0,0.8,0,0.85,0,0.9,0,0.9,0,0.8,1,0.8,0,0.9,0,0.9,0,0.9,0.0,0.8453509366224364
ES_046,1,0,0.8,0,0.8,0,0.8,0,0.8,0,0.8,1,0.8,0,0.8,0,0.8,0,0.8,0,0.8,0,0.9,0.0,0.4394969869215133
ES_047,1,2,0.7,2,0.7,2,0.7,2,0.8,2,0.9,2,0.8,2,0.7,2,0.7,2,0.7,2,0.8,2,0.7,2.0,0.0
ES_048,0,0,0.8,0,0.9,0,0.8,0,0.8,0,0.8,0,0.9,0,0.8,0,0.8,0,0.8,0,0.8,2,0.7,0.0,0.4394969869215133
ES_049,1,2,0.7,0,0.8,2,0.7,2,0.7,2,0.9,2,0.7,2,0.7,2,0.6,1,0.8,0,0.8,2,0.7,2.0,1.0957952550009338
ES_050,0,2,0.7,2,0.7,2,0.7,2,0.8,2,0.8,2,0.7,2,0.7,2,0.7,2,0.7,2,0.9,2,0.8,2.0,0.0
ES_051,1,0,0.8,2,0.7,0,0.9,0,0.8,0,0.9,0,0.9,0,0.8,2,0.6,0,0.8,0,0.9,1,0.7,0.0,1.0957952550009338
ES_052,1,2,0.7,2,0.7,2,0.7,2,0.7,0,0.8,2,0.7,2,0.7,2,0.7,2,0.8,0,0.8,2,0.7,2.0,0.6840384356390417
ES_053,1,2,0.6,0,0.8,2,0.7,0,0.9,0,0.9,2,0.7,2,0.7,2,0.7,2,0.8,0,0.8,0,0.9,2.0,0.9940302114769566
ES_054,1,1,0.8,0,0.9,1,0.8,1,0.8,0,0.9,1,0.8,0,0.8,1,0.8,1,0.9,0,0.8,0,0.9,1.0,0.9940302114769566
ES_055,0,2,0.7,2,0.7,2,0.7,2,0.8,2,0.8,0,0.9,2,0.7,2,0.7,2,0.7,2,0.9,0,0.9,2.0,0.6840384356390417
ES_056,2,2,0.7,2,0.7,2,0.7,2,0.7,2,0.9,2,0.7,2,0.8,2,0.7,2,0.7,2,0.8,2,0.7,2.0,0.0
ES_057,0,2,0.6,2,0.7,0,0.8,2,0.7,2,0.8,0,0.8,0,0.7,2,0.7,2,0.8,0,0.8,0,0.9,2.0,0.9940302114769566
ES_058,0,2,0.7,2,0.7,2,0.7,2,0.8,0,0.8,2,0.8,2,0.7,2,0.7,2,0.8,1,0.7,0,0.8,2.0,1.0957952550009338
ES_059,1,1,0.8,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.8,1,0.8,1.0,0.0
ES_060,1,2,0.7,0,0.8,2,0.7,2,0.7,0,0.8,2,0.7,2,0.7,2,0.6,2,0.7,0,0.8,2,0.7,2.0,0.8453509366224364
ES_061,2,0,0.8,0,0.9,0,0.8,0,0.8,0,0.9,0,0.8,0,0.9,0,0.8,0,0.8,0,0.8,0,0.9,0.0,0.0
ES_062,1,0,0.8,0,0.8,0,0.9,0,0.9,0,0.9,1,0.9,0,0.9,0,0.8,1,0.9,0,0.8,1,0.8,0.0,0.8453509366224364
ES_063,0,2,0.7,2,0.7,2,0.7,2,0.8,2,0.9,0,0.9,2,0.8,2,0.7,2,0.8,2,0.9,2,0.7,2.0,0.4394969869215133
ES_064,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.8,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_065,1,2,0.7,2,0.7,2,0.8,2,0.9,2,0.9,2,0.8,2,0.9,2,0.9,2,0.8,2,0.9,2,0.8,2.0,0.0
ES_066,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.95,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_067,1,2,0.6,0,0.8,2,0.7,2,0.8,0,0.8,2,0.8,2,0.7,2,0.7,2,0.7,0,0.8,2,0.8,2.0,0.8453509366224364
ES_068,1,0,0.8,0,0.9,0,0.9,0,0.9,0,0.9,1,0.85,0,0.9,0,0.9,1,0.9,0,0.9,0,0.9,0.0,0.6840384356390417
ES_069,1,1,0.8,1,0.9,1,0.85,1,0.85,1,0.9,1,0.9,1,0.9,1,0.8,1,0.9,1,0.8,1,0.8,1.0,0.0
ES_070,1,0,0.8,0,0.8,0,0.8,0,0.8,0,0.85,1,0.8,0,0.8,2,0.7,1,0.9,0,0.8,2,0.8,0.0,1.3092966682370035
ES_071,1,2,0.7,2,0.7,2,0.7,2,0.7,2,0.8,2,0.7,2,0.8,2,0.7,2,0.8,2,0.8,2,0.7,2.0,0.0
ES_072,1,2,0.7,0,0.8,2,0.7,2,0.8,2,0.8,0,0.9,2,0.7,2,0.7,2,0.8,0,0.8,2,0.7,2.0,0.8453509366224364
ES_073,1,1,0.8,1,0.9,1,0.8,1,0.9,1,0.9,1,0.8,1,0.9,1,0.8,1,0.9,1,0.8,1,0.8,1.0,0.0
ES_074,1,0,0.8,0,0.9,1,0.8,1,0.8,0,0.9,1,0.8,0,0.8,0,0.8,1,0.9,1,0.8,1,0.7,1.0,0.9940302114769566
ES_075,1,2,0.7,2,0.7,2,0.7,0,0.8,0,0.85,2,0.8,2,0.7,2,0.7,0,0.8,0,0.8,0,0.8,2.0,0.9940302114769566
ES_076,0,0,0.9,0,0.9,0,0.9,0,0.85,0,0.9,0,0.9,0,0.9,0,0.8,0,0.8,0,0.9,0,0.9,0.0,0.0
ES_077,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_078,0,0,0.8,0,0.8,0,0.85,0,0.8,0,0.8,0,0.8,0,0.8,2,0.7,0,0.8,0,0.8,0,0.9,0.0,0.4394969869215133
ES_079,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_080,0,0,0.8,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.8,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_081,1,2,0.7,2,0.7,2,0.7,2,0.8,2,0.8,2,0.8,2,0.7,2,0.7,2,0.7,2,0.9,2,0.7,2.0,0.0
ES_082,1,1,0.7,1,0.8,1,0.8,0,0.8,1,0.8,1,0.8,1,0.8,2,0.6,1,0.9,0,0.8,1,0.7,1.0,1.0957952550009338
ES_083,1,2,0.7,2,0.7,2,0.7,2,0.8,2,0.8,2,0.8,2,0.8,2,0.7,2,0.7,0,0.8,2,0.8,2.0,0.4394969869215133
ES_084,1,1,0.8,1,0.9,1,0.8,1,0.9,1,0.9,1,0.8,1,0.8,1,0.8,1,0.9,1,0.8,1,0.8,1.0,0.0
ES_085,2,2,0.8,2,0.7,2,0.9,2,0.9,2,1.0,2,0.9,2,0.9,2,0.9,2,0.9,2,1.0,2,0.8,2.0,0.0
ES_086,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.8,0,0.9,0.0,0.0
ES_087,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_088,0,0,0.9,0,0.9,0,0.9,0,0.85,0,0.9,0,0.9,0,0.9,0,0.9,0,0.8,0,0.9,0,0.9,0.0,0.0
ES_089,1,2,0.6,2,0.7,2,0.7,2,0.7,2,0.8,0,0.9,2,0.7,2,0.6,2,0.7,0,0.8,2,0.7,2.0,0.6840384356390417
ES_090,0,2,0.6,1,0.8,2,0.6,2,0.7,0,0.8,2,0.7,0,0.8,2,0.6,2,0.8,0,0.8,0,0.8,2.0,1.3221793455166666
ES_091,1,1,0.8,1,0.9,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,0,0.8,0,0.9,1.0,0.6840384356390417
ES_092,0,2,0.6,1,0.7,2,0.7,0,0.8,0,0.8,1,0.7,2,0.7,2,0.6,1,0.8,0,0.8,0,0.8,0.0,1.5726236638951638
ES_093,2,2,0.6,0,0.8,2,0.7,2,0.8,2,0.8,2,0.7,2,0.7,2,0.7,2,0.7,0,0.8,2,0.7,2.0,0.6840384356390417
ES_094,1,2,0.7,2,0.7,2,0.7,2,0.7,2,0.9,0,0.9,2,0.7,2,0.7,2,0.8,0,0.8,2,0.7,2.0,0.6840384356390417
ES_095,1,0,0.8,0,0.9,0,0.8,0,0.8,0,0.8,0,0.9,0,0.9,1,0.7,1,0.8,0,0.8,1,0.7,0.0,0.8453509366224364
ES_096,0,2,0.5,2,0.7,2,0.7,2,0.7,2,0.9,2,0.7,2,0.7,2,0.7,2,0.8,1,0.8,2,0.7,2.0,0.4394969869215133
ES_097,1,1,0.8,1,0.9,1,0.8,1,0.8,1,0.85,1,0.9,1,0.8,1,0.8,1,0.9,1,0.8,1,0.8,1.0,0.0
ES_098,1,2,0.7,2,0.7,2,0.7,2,0.8,2,0.9,2,0.7,2,0.8,2,0.7,2,0.8,2,0.8,2,0.8,2.0,0.0
ES_099,0,0,0.8,0,0.9,0,0.8,0,0.8,0,0.8,0,0.85,0,0.8,0,0.8,2,0.8,0,0.8,0,0.9,0.0,0.4394969869215133
